,id,code,pe_ratio,turnover_ratio,pb_ratio,ps_ratio,pcf_ratio,capitalization,market_cap,circulating_cap,circulating_market_cap,day,pe_ratio_lyr
2273,62082904,300850.XSHE,56.063,,12.5773,11.0599,162.6088,10600.0,169.4834,2650.0,42.3708,2021-01-01,169.7712
2274,62086250,300851.XSHE,26.1785,,2.8678,8.9868,47.8158,8693.3398,30.8527,2173.3401,7.7132,2021-01-01,25.9905
2275,62082539,300852.XSHE,44.3976,,6.1105,8.4107,212.4903,5662.8198,51.7185,1416.0,12.9323,2021-01-01,58.9053
2276,62083632,300853.XSHE,39.1523,,4.9208,10.4358,28.1877,8162.7998,53.05,2040.7,13.2625,2021-01-01,46.922
2277,62084532,300855.XSHE,89.7789,,9.3024,17.7078,44.8913,20000.0,95.78,5000.0,23.945,2021-01-01,93.9479
2278,62084238,300856.XSHE,36.0584,,4.3067,5.7779,48.6146,11288.0,61.5986,2822.0,15.3997,2021-01-01,40.0776
2279,62086420,300857.XSHE,50.7701,,5.2883,2.9846,14.6347,20655.7773,60.9965,5163.9448,15.2491,2021-01-01,64.0188
2280,62083530,300858.XSHE,50.6947,,5.5012,14.9791,38.5017,8251.7695,49.981,2063.0,12.4956,2021-01-01,53.5793
2281,62083639,300859.XSHE,-70.0217,,5.0760000000000005,51.0443,32.624,15500.0,31.372,3875.0,7.843,2021-01-01,42.6537
2282,62084501,300860.XSHE,33.422,,3.0332,8.6753,6.9562,7207.4058,94.2008,1709.5468,22.3438,2021-01-01,37.1115
2283,62083433,300861.XSHE,51.4108,,6.3586,18.5114,-64.3803,40001.0,212.8453,3757.5779,19.9941,2021-01-01,52.2092
